Vehicle_Line,Derivative,Trim,Model_Year,Total_Price_GBP,Interior_Colour,Exterior_Colour,Feature_Codes
Range Rover Sport,P510,Dynamic S,2024,128654,Flame Red,Seoul Pearl Silver,"['IL001', 'IT016', 'IT020', 'DA018', 'SF012', 'WS019', 'IT019', 'DA014', 'CV005', 'CL014', 'CV020', 'CP006', 'LT004', 'WS008', 'DA017', 'CL002', 'WS017']"
Range Rover Velar,P300,Autobiography,2024,126840,Ebony,Narvik Black,"['SS014', 'CP005', 'EP014', 'AS008', 'WS002', 'IT019', 'IT005', 'RF004', 'EP005', 'IT014', 'AS005', 'IT006', 'CL002', 'EP008', 'CV006', 'DA017']"
Discovery,P360,SE,2023.5,66212,Perlino,Silicon Silver,"['SF005', 'EP001', 'EP002', 'CV002', 'WS008', 'SF004', 'DA005', 'SF022', 'IT010', 'SF014', 'SF009', 'SF007']"
Defender,D240 90,HSE,2024,79697,Glacier White,Gondwana Stone,"['WS002', 'WS008', 'IL002', 'SF020', 'LT001', 'CV007', 'CL002', 'IL001', 'CV004', 'RF002']"
Range Rover,P530 LWB,SE,2023,142555,Reims Blue,Champagne Gold,"['IT001', 'SF020', 'CV011', 'LT001', 'SF002', 'SF005', 'CV004', 'CL001', 'SF006', 'SF007', 'IT002', 'SF018']"
F-Pace,P250,R-Dynamic S,2023,68660,Siena Tan,Corris Grey,"['DA017', 'IL002', 'AS002', 'IL004', 'WS013', 'WS009', 'SF009', 'LT014', 'CS003', 'LT011', 'SF012', 'WS016', 'IT012', 'CV009']"
Defender,D240 110,Octa,2023,176705,Nimbus,Carpathian Grey,"['AS007', 'CP004', 'EP010', 'CV020', 'CL013', 'RF002', 'EP004', 'WS015', 'WS009', 'SS004', 'DA006', 'IT005', 'EP007', 'CV009', 'IT006', 'DA015', 'AS009', 'LT002']"
F-Pace,P400,R-Dynamic S,2020,63650,Light Oyster,Silicon Silver,"['DA009', 'IL004', 'DA013', 'IT024', 'AS005', 'IL011', 'CL013', 'LT011', 'CV006', 'IL007', 'WS008', 'AS009', 'IT017']"
Range Rover Sport,P510,Dynamic S,2021,114954,Robusta,Narvik Black,"['CS007', 'LT011', 'DA002', 'WS018', 'AS005', 'SS015', 'SS011', 'IL004', 'CL005', 'CP002', 'RF002', 'AS007', 'AS008', 'EP010', 'IT005', 'IT004']"
F-Pace,D240,R-Dynamic HSE,2020,66950,Dove,Cosmos Black,"['DA002', 'RF003', 'CL010', 'IT005', 'CV007', 'CV005', 'CL011', 'SF016', 'IL002']"
Range Rover Evoque,P200,Autobiography,2024,78058,Siena Tan,Aruba,"['WS013', 'LT017', 'LT007', 'EP013', 'IL006', 'CV001', 'RF004', 'CV010', 'IL001', 'LT019', 'AS005', 'IT002', 'IL007', 'CV004', 'WS006', 'IL003', 'IT011']"
Range Rover Velar,D300,Dynamic SE,2022,63736,Titan,Rossello Red,"['CV001', 'CV002', 'CL010', 'SF004', 'SF022', 'SF009', 'DA005', 'LT001', 'WS001', 'CV011']"
Range Rover Evoque,P300,Dynamic HSE,2023,69750,Ivory,Firenze Red,"['SF015', 'RF003', 'LT002', 'WS009', 'IT005', 'IL002', 'CL001', 'CL012', 'CV004', 'LT007', 'IT002', 'CV006']"
Discovery,P360,HSE,2024.5,96098,Cloud,Firenze Red,"['WS003', 'IT003', 'DA001', 'LT003', 'CL012', 'CV010', 'SF012', 'IT005', 'IT008', 'EP002', 'CL001', 'DA007', 'EP001', 'SF014', 'EP003']"
Range Rover Evoque,P200,S,2022,32446,Nimbus,Rossello Red,"['IT007', 'DA005', 'SF002', 'IT009', 'CL006', 'SF006', 'IT010', 'SF001']"
F-Pace,D240,R-Dynamic SE,2022.5,53692,Navy,Rossello Red,"['LT001', 'SF005', 'SF010', 'LT006', 'CL008', 'DA005', 'IT010', 'SF014', 'CV002', 'SF011']"
Range Rover Velar,P250,Autobiography,2024,119598,Dove,Seoul Pearl Silver,"['LT003', 'WS012', 'AS006', 'CS012', 'EP014', 'AS009', 'IT017', 'CS009', 'EP005', 'CP006', 'CS010', 'IL001', 'CL013', 'CS015', 'RF002']"
Range Rover Velar,P250,Dynamic HSE,2021.5,82385,Navy,Pangea Green,"['LT003', 'WS008', 'SF011', 'SF001', 'RF002', 'CL008', 'WS003', 'CV005', 'DA003', 'IL005', 'SF022', 'SF012', 'CV001', 'EP003', 'CL001']"
Discovery,D250,S,2020.5,43022,Espresso,Balmoral Blue,"['CL001', 'EP001', 'SF010', 'IT001', 'SF004', 'IT009', 'IT010']"
Defender,D300 130,S,2022,53401,Reims Blue,Firenze Red,"['CL008', 'CV002', 'SF010', 'SF008', 'DA005', 'CV011', 'WS010']"
F-Pace,D200,R-Dynamic SE,2021,47585,Ivory,Ostuni Pearl White,"['SF014', 'SF010', 'SF018', 'WS001', 'CL009', 'LT006', 'EP001', 'CV004', 'CL008', 'CV011', 'CV002', 'SF006']"
F-Pace,P250,R-Dynamic SE,2025,64388,Brogue,Pangea Green,"['SF010', 'WS002', 'SF011', 'SF018', 'CV004', 'IT009', 'EP001', 'CL008', 'SF001', 'CV010', 'SF006']"
Range Rover,P460e PHEV LWB,SE,2024.5,153125,Cloud,Silicon Silver,"['WS001', 'EP001', 'SF005', 'SF003', 'SF018', 'IT001', 'CV002', 'SF008', 'LT001']"
Discovery Sport,P290,HSE Luxury,2023.5,68468,Flame Red,Kaikoura Stone,"['DA002', 'RF003', 'DA001', 'CV004', 'CV005', 'SF006', 'IT011', 'WS002', 'LT007', 'LT003', 'DA003', 'CV009', 'CL011']"
Defender,D300 110,Octa,2024.5,186129,Nimbus,Gondwana Stone,"['CL018', 'CL011', 'WS007', 'AS009', 'EP010', 'RF004', 'LT016', 'CP004', 'CS006', 'CV012', 'WS002', 'IT007', 'WS017', 'CS013', 'EP002']"
Range Rover,P460e PHEV LWB,SE,2024.5,155595,Robusta,Corris Grey,"['CV004', 'CV010', 'SF009', 'SF008', 'SF003', 'SF007', 'SF005', 'WS002', 'CL008']"
Discovery,P360,HSE,2021.5,84386,Perlino,Ostuni Pearl White,"['CL012', 'CV006', 'CL009', 'IL002', 'IL001', 'IT002', 'CL002', 'IT009', 'CL008', 'CL010', 'SF001', 'CV005', 'CV007', 'IT008']"
Discovery Sport,D180,SE,2024.5,43390,Navy,Fuji White,"['CV010', 'SF018', 'SF014', 'IT001', 'CL001', 'SF011', 'CL010', 'WS002', 'SF003']"
Range Rover Velar,D240,Dynamic SE,2023.5,68708,Espresso,Varesine Blue,"['LT001', 'CL010', 'SF001', 'SF010', 'WS001', 'SF020', 'IT001', 'CV007', 'IT004', 'SF014']"
Range Rover Evoque,D200,Dynamic SE,2024.5,46422,Dove,Varesine Blue,"['CV001', 'SF005', 'SF020', 'CV002', 'CV010', 'DA005', 'IL001', 'CL010', 'LT001', 'CL001']"
Discovery Sport,P250,HSE,2024.5,69080,Navy,Fuji White,"['CV004', 'DA006', 'DA007', 'IT005', 'CL008', 'WS003', 'CL010', 'LT002', 'IL001', 'IT003', 'CV006', 'CL003', 'IT004']"
Range Rover Evoque,P250,S,2022,33618,Espresso,Gondwana Stone,"['SF007', 'SF008', 'SF020', 'CV011', 'IT001', 'CV004', 'CL006', 'SF006']"
F-Pace,D240,SVR,2021,106355,Flame Red,Seoul Pearl Silver,"['WS014', 'CV010', 'EP005', 'RF003', 'CS009', 'CV004', 'EP015', 'EP002', 'DA018', 'WS004', 'CV014', 'IL005', 'IT005', 'LT015', 'IL006', 'IT020']"
